N,seed,min_energy,average_time,success_probability,TTS,hardware,program_name
200,1201936,-0.7348126,0.000285882,0.001,0.285882,Linux x86_64,Greedy
200,1201939,-0.72398922,0.000283007,0.001,0.283007,Linux x86_64,Greedy
200,1201942,-0.73151719,0.00029298,0.001,0.29298,Linux x86_64,Greedy
200,1201945,-0.73290722,0.000285913,0.001,0.285913,Linux x86_64,Greedy
200,1201948,-0.72666255,0.000287069,0.001,0.287069,Linux x86_64,Greedy
200,1201951,-0.74396576,0.000295711,0.001,0.295711,Linux x86_64,Greedy
200,1201954,-0.73936404,0.00028233,0.001,0.28233,Linux x86_64,Greedy
200,1201957,-0.73460352,0.000287352,0.001,0.287352,Linux x86_64,Greedy
200,1201960,-0.74616799,0.000300386,0.002,0.150193,Linux x86_64,Greedy
200,1201963,-0.74438171,0.000288603,0.001,0.288603,Linux x86_64,Greedy
200,1201966,-0.71926468,0.000292712,0.001,0.292712,Linux x86_64,Greedy
200,1201969,-0.71820475,0.000286571,0.001,0.286571,Linux x86_64,Greedy
200,1201972,-0.7370597,0.000281874,0.001,0.281874,Linux x86_64,Greedy
200,1201975,-0.74080649,0.000284886,0.001,0.284886,Linux x86_64,Greedy
200,1201978,-0.74883768,0.000286085,0.001,0.286085,Linux x86_64,Greedy
200,1201981,-0.74688653,0.000291263,0.001,0.291263,Linux x86_64,Greedy
200,1201984,-0.74090459,0.000288673,0.001,0.288673,Linux x86_64,Greedy
200,1201987,-0.7464953,0.000282501,0.001,0.282501,Linux x86_64,Greedy
200,1201990,-0.72990094,0.000287635,0.001,0.287635,Linux x86_64,Greedy
200,1201993,-0.75665676,0.000294684,0.001,0.294684,Linux x86_64,Greedy
200,1201996,-0.7399693,0.000292788,0.001,0.292788,Linux x86_64,Greedy
200,1201999,-0.74142345,0.000294174,0.001,0.294174,Linux x86_64,Greedy
200,1202002,-0.7534171,0.000291747,0.001,0.291747,Linux x86_64,Greedy
200,1202005,-0.7323027,0.000301661,0.001,0.301661,Linux x86_64,Greedy
200,1202008,-0.73382244,0.000288025,0.001,0.288025,Linux x86_64,Greedy
200,1202011,-0.76241017,0.00028974,0.001,0.28974,Linux x86_64,Greedy
200,1202014,-0.72518247,0.000286275,0.001,0.286275,Linux x86_64,Greedy
200,1202017,-0.75548515,0.00028613,0.001,0.28613,Linux x86_64,Greedy
200,1202020,-0.743062,0.000288515,0.001,0.288515,Linux x86_64,Greedy
200,1202023,-0.73135919,0.000287888,0.001,0.287888,Linux x86_64,Greedy
200,1202026,-0.73266389,0.000286483,0.001,0.286483,Linux x86_64,Greedy
200,1202029,-0.7477724,0.000296417,0.001,0.296417,Linux x86_64,Greedy
300,1301732,-0.72991816,0.000546589,0.001,0.546589,Linux x86_64,Greedy
300,1301735,-0.74907431,0.000552673,0.001,0.552673,Linux x86_64,Greedy
300,1301738,-0.7349068,0.000549852,0.001,0.549852,Linux x86_64,Greedy
300,1301741,-0.72097778,0.000551335,0.001,0.551335,Linux x86_64,Greedy
300,1301744,-0.73988104,0.000554618,0.001,0.554618,Linux x86_64,Greedy
300,1301747,-0.7275294,0.000545634,0.001,0.545634,Linux x86_64,Greedy
300,1301750,-0.7435477,0.000554507,0.001,0.554507,Linux x86_64,Greedy
